7.1.0	This NASA image is a composite of several satellite-based views of Earth.
7.41.253	Malpighian tubules of insects and other terrestrial arthropods remove nitrogenous wastes and other solutes from the hemolymph.
7.41.254	Na+
7.41.255	and/or K+ ions are actively transported into the lumen of the tubules.
7.41.256	Water then enters the tubules via osmosis, forming urine.
7.41.257	The urine passes through the intestine, and into the rectum.
7.41.258	There, nutrients diffuse back into the hemolymph.
7.41.259	Na+
7.41.260	and/or K+ ions are pumped into the hemolymph, and water follows.
7.41.261	The concentrated waste is then excreted.
7.41.262	Of the four major macromolecules in biological systems, both proteins and nucleic acids contain nitrogen.
7.41.263	During the catabolism, or breakdown, of nitrogen-containing macromolecules, carbon, hydrogen, and oxygen are extracted and stored in the form of carbohydrates and fats.
7.41.264	Excess nitrogen is excreted from the body.
7.41.265	Nitrogenous wastes tend to form toxic ammonia, which raises the pH of body fluids.
7.41.266	The formation of ammonia itself requires energy in the form of ATP and large quantities of water to dilute it out of a biological system.
7.41.267	Animals that live in aquatic environments tend to release ammonia into the water.
7.41.268	Animals that excrete ammonia are said to be ammonotelic.
7.41.269	Terrestrial organisms have evolved other mechanisms to excrete nitrogenous wastes.
7.41.270	The animals must detoxify ammonia by converting it into a relatively nontoxic form such as urea or uric acid.
7.41.271	Mammals, including humans, produce urea, whereas reptiles and many terrestrial invertebrates produce uric acid.
7.41.272	Animals that secrete urea as the primary nitrogenous waste material are called ureotelic animals.
7.41.273	Nitrogenous Waste in Terrestrial Animals:
7.41.274	The Urea Cycle
7.41.275	The urea cycle is the primary mechanism by which mammals convert ammonia to urea.
7.41.276	Urea is made in the liver and excreted in urine.
7.41.277	The overall chemical reaction by which ammonia is converted to urea is 2 NH3 (ammonia)
7.41.278	+ CO2 + 3 ATP + H2O
7.41.279	→ H2N-CO-NH2 (urea) +
7.41.280	2 ADP +
7.41.281	4 Pi + AMP.
7.41.282	The urea cycle utilizes five intermediate steps, catalyzed by five different enzymes, to convert ammonia to urea, as shown in Figure 41.12.
7.41.283	The amino acid L-ornithine gets converted into different intermediates before being regenerated at the end of the urea cycle.
7.41.284	Hence, the urea cycle is also referred to as the ornithine cycle.
7.41.285	The enzyme ornithine transcarbamylase catalyzes a key step in the urea cycle and its deficiency can lead to accumulation of toxic levels of ammonia in the body.
7.41.286	The first two reactions occur in the mitochondria and the last three reactions occur in the cytosol.
7.41.287	Urea concentration in the blood, called blood urea nitrogen or BUN, is used as an indicator of kidney function.
7.41.288	Nitrogenous Waste in Birds and Reptiles:
7.41.289	Uric Acid Birds, reptiles, and most terrestrial arthropods convert toxic ammonia to uric acid or the closely related compound guanine (guano) instead of urea.
7.41.290	Mammals also form some uric acid during breakdown of nucleic acids.
7.41.291	Uric acid is a compound similar to purines found in nucleic acids.
7.41.292	It is water insoluble and tends to form a white paste or powder; it is excreted by birds, insects, and reptiles.
7.41.293	Conversion of ammonia to uric acid requires more energy and is much more complex than conversion of ammonia to urea Figure 41.13.
7.41.294	Nitrogenous waste is excreted in different forms by different species.
7.41.295	These include (a) ammonia, (b) urea, and (c) uric acid.
7.41.296	(credit a: modification of work by Eric Engbretson, USFWS; credit b: modification of work by B. "Moose" Peterson, USFWS; credit c: modification of work by Dave Menke, USFWS)
7.41.297	While the kidneys operate to maintain osmotic balance and blood pressure in the body, they also act in concert with hormones.
7.41.298	Hormones are small molecules that act as messengers within the body.
7.41.299	Hormones are typically secreted from one cell and travel in the bloodstream to affect a target cell in another portion of the body.
7.41.300	Different regions of the nephron bear specialized cells that have receptors to respond to chemical messengers and hormones.
7.41.301	Table 41.1 summarizes the hormones that control the osmoregulatory functions.
7.41.302	Epinephrine and Norepinephrine Epinephrine and norepinephrine are released by the adrenal medulla and nervous system respectively.
7.41.303	They are the flight/ fight hormones that are released when the body is under extreme stress.
7.41.304	During stress, much of the body’s energy is used to combat imminent danger.
7.41.305	Kidney function is halted temporarily by epinephrine and norepinephrine.
7.41.306	These hormones function by acting directly on the smooth muscles of blood vessels to constrict them.
7.41.307	Once the afferent arterioles are constricted, blood flow into the nephrons stops.
7.41.308	These hormones go one step further and trigger the renin-angiotensin- aldosterone system.
7.41.309	Renin-Angiotensin-Aldosterone
7.41.310	The renin-angiotensin-aldosterone system, illustrated in Figure 41.15 proceeds through several steps to produce angiotensin II, which acts to stabilize blood pressure and volume.
7.41.311	Renin (secreted by a part of the juxtaglomerular complex) is produced by the granular cells of the afferent and efferent arterioles.
7.41.312	Thus, the kidneys control blood pressure and volume directly.
7.41.313	Renin acts on angiotensinogen, which is made in the liver and converts it to angiotensin I. Angiotensin converting
7.41.314	enzyme (ACE) converts angiotensin
7.41.315	I to angiotensin II.
7.41.316	Angiotensin II raises blood pressure by constricting blood vessels.
7.41.317	It also triggers the release of the mineralocorticoid aldosterone from the adrenal cortex, which in turn stimulates the renal tubules to reabsorb more sodium.
7.41.318	Angiotensin II also triggers the release of anti-diuretic hormone (ADH) from the hypothalamus, leading to water retention in the kidneys.
7.41.319	It acts directly on the nephrons and decreases glomerular filtration rate.
7.41.320	Medically, blood pressure can be controlled by drugs that inhibit ACE (called ACE inhibitors).
7.41.321	The renin-angiotensin-aldosterone system increases blood pressure and volume.
7.41.322	The hormone ANP has antagonistic effects.
7.41.323	(credit: modification of work by Mikael Häggström)
