7.1.1.1	Chapter 1: Studying Life
7.4.4.2.1.1	Figure 4.11 The Earliest Cells?
7.4.4.2.2.1	In the 1990s scientists made a rare find: a formation of ancient rocks in Australia that had remained relatively unchanged since the rocks first formed 3.5 billion years ago.
7.4.4.2.2.2	In one of these rock samples, geologist J. William Schopf of the University of California, Los Angeles, saw chains and clumps of what looked tantalizingly like contemporary cyanobacteria, or    blue-green  ? bacteria (Figure 4.11).
7.4.4.2.2.3	Cyanobacteria are believed to have been among the first organisms because they can perform photosynthesis, converting CO2 and water into carbohydrates.
7.4.4.2.2.4	Schopf needed to prove that the chains were once alive, not just the results of simple chemical reactions.
7.4.4.2.2.5	He and his colleagues looked for chemical evidence of photosynthesis in the rock samples.
7.4.4.2.3.1	The use of carbon dioxide in photosynthesis is a hallmark of life and leaves a unique chemical signature   a specific ratio of carbon isotopes (13C:12C) in the resulting carbohydrates.
7.4.4.2.3.2	Schopf showed that the Australian material had this isotope signature.
7.4.4.2.3.3	Furthermore, microscopic examination of the chains revealed internal substructures that are characteristic of living systems and were not likely to be the result of simple chemical reactions.
7.4.4.2.3.4	Schopf   s evidence suggests that the Australian sample is indeed the remains of a truly ancient living organism.
7.4.4.2.4.1	In 2011 a different team of scientists, working about 32 km from Schopf   s discovery, found similar-looking microfossil structures in sandstone rocks that were about 3.4 billion years old.
7.4.4.2.4.2	In this case, a chemical analysis of the rocks indicated that these cells used sulfur instead of oxygen in the series of cellular reactions that release chemical energy.
7.4.4.2.4.3	Figure 4.12 The Origin of Life
7.4.4.2.5.1	Taking geological, chemical, and biological evidence into account, it is plausible that it took about 500 million to a billion years from the formation of Earth until the appearance of the first cells (Figure 4.12).
7.4.4.2.5.2	Life has been cellular ever since.
7.4.4.2.5.3	In the next chapter we will begin our study of cell structure and function.
7.4.4.2.6.1	investigatinglife
7.4.4.2.7.1	Can we find evidence of life on Mars?
7.4.4.2.8.1	In 2014, NASA declared that finding evidence for current or past life on Mars is a primary goal.
7.4.4.2.8.2	At this writing, the Curiosity rover is still there, doing experiments and analyses.
7.4.4.2.8.3	Later rovers are planned for early in the coming decade.
7.4.4.2.8.4	In addition, the European Space Agency, collaborating with Russia, is planning to launch several    ExoMars  ? rovers in the middle of the decade, which will drill 2 m into the surface of Mars to get cores to analyze them for chemical traces of life below the surface.
7.4.4.2.8.5	Most exciting, although uncertain, is a Mars Sample Return Mission, in which soil samples will be brought back to Earth for careful experimentation and analysis in laboratories, just as samples from the moon were brought back more than 40 years ago.
7.4.4.2.8.6	If you had a Martian soil sample here on Earth, what analyses and experiments would you perform?
7.4.4.2.9.1	Future directions
7.4.4.2.10.1	A daring space mission is in the final planning stages that may provide key information on the origin of life on Earth.
7.4.4.2.10.2	There are more than 600,000 known asteroids, most of them rocks from the early solar system orbiting the sun between Mars and Jupiter.
7.4.4.2.10.3	But a few thousand have been kicked out of the typical location and are relatively near Earth, some getting closer than our moon.
7.4.4.2.10.4	One, called Bennu, was discovered in 1999 and has been well studied.
7.4.4.2.10.5	It is just the right size and composition to contain organic molecules.
7.4.4.2.10.6	In 2018, a probe called OSIRIS-REx will arrive at the asteroid, spend about a year near it, and collect a sample of material and then return it to Earth in 2023 for analysis.
7.4.4.2.10.7	This sample of the early solar system will provide scientists with a window onto not just what the asteroid is made of, but perhaps the earliest molecules that could have led to life.
7.4.4.2.11.1	4.4 recap
7.4.4.2.12.1	The chemical reactions that preceded living organisms probably occurred in specialized compartments, such as water droplets on the surfaces of minerals.
7.4.4.2.12.2	Life as we know it did not begin until the emergence of cells.
7.4.4.2.12.3	Protocells made in the laboratory have some of the properties of modern cells.
7.4.4.2.12.4	Cell-like structures fossilized in ancient rocks date early cells to about 3.5 billion years ago.
7.4.4.2.13.1	learning outcomes
7.4.4.2.14.1	You should be able to:
7.4.4.2.15.1	Justify the reasoning behind the hypothesis that a membrane was critical in the evolution of life on Earth.
7.4.4.2.16.1	Describe the evidence suggesting that microfossils may be the remains of early cells.
7.4.4.2.17.1	Why is the cell membrane important to the evolution of living organisms?
7.4.4.2.18.1	If you wanted to find evidence for the existence of cells more than 3 billion years ago, what would you look for?
7.4.4.2.19.1	Chapter 4 continues with
7.4.4.2.20.1	Chapter Summary
7.4.summary.1.1	4.1
7.4.summary.2.1	Nucleic Acid Structures Reflect Their Function
7.4.summary.3.1	The unique functions of the nucleic acids   DNA and RNA   are information storage and transfer.
7.4.summary.3.2	DNA is the hereditary material that passes genetic information from one generation to the next, and RNA uses that information to specify the structures of proteins.
7.4.summary.4.1	Nucleic acids are polymers of nucleotides.
7.4.summary.4.2	A nucleotide consists of a phosphate group, a pentose sugar (ribose in RNA and deoxyribose in DNA), and a nitrogen-containing base.
7.4.summary.4.3	Review Figure 4.1, Animation 4.1
7.4.summary.5.1	In DNA, the nucleotide bases are adenine (A), guanine (G), cytosine (C), and thymine (T).
7.4.summary.5.2	Uracil (U) replaces thymine in RNA.
7.4.summary.5.3	C, T, and U have single-ring structures and are pyrimidines.
7.4.summary.5.4	A and G have double-ring structures and are purines.
7.4.summary.6.1	The nucleotides in DNA and RNA are joined by phosphodiester linkages involving the sugar of one nucleotide and the phosphate of the next, forming a nucleic acid polymer.
7.4.summary.6.2	Review Figure 4.2, Activity 4.1
7.4.summary.7.1	Complementary base pairing due to hydrogen bonds between A and T, A and U, and G and C occurs in nucleic acids.
7.4.summary.7.2	In RNA, the hydrogen bonds result in a folded molecule.
7.4.summary.7.3	In DNA, the hydrogen bonds connect two strands into a double helix.
7.4.summary.7.4	Review Figure 4.3,  Focus: Key Figure 4.4,  Activity 4.2
7.4.summary.8.1	The information content of DNA and RNA resides in their base sequences.
7.4.summary.9.1	The information in DNA is expressed as RNA in transcription.
7.4.summary.9.2	RNA can then specify the amino acid sequence of a protein in translation.
7.4.summary.9.3	Review Figure 4.5 4.2
7.4.summary.10.1	The Small Molecules of Life Originated on Primitive Earth
7.4.summary.11.1	The historical belief that life can originate repeatedly by spontaneous generation was disproven experimentally.
7.4.summary.11.2	Review Figure 4.6, Animation 4.2
7.4.summary.12.1	A prerequisite for life is the presence of water.
7.4.summary.13.1	One hypothesis for the origin of life on Earth is chemical evolution: the idea that organic molecules were formed on Earth before life began.
7.4.summary.14.1	Chemical experiments modeling the prebiotic conditions on Earth support the idea of chemical evolution.
7.4.summary.14.2	Review Figure 4.7, Animation 4.3
7.4.summary.15.1	Some meteorites that have landed on Earth contain organic molecules, suggesting that life might have originated extraterrestrially.
7.4.summary.16.1	Experiments with lands on Mars yielded some data consistent with the existence of life on that planet.
7.4.summary.16.2	Review Investigating Life: Can We Find Evidence of Life on Mars? 4.3
7.4.summary.17.1	The Large Molecules of Life Originated from Small Molecules
7.4.summary.18.1	Chemical evolution may have led to the polymerization of small molecules into polymers.
7.4.summary.18.2	This may have occurred on the surfaces of clay particles, in hydrothermal vents, or in hot pools at the edges of oceans.
7.4.summary.19.1	A catalyst speeds up a chemical reaction.
7.4.summary.19.2	Today most catalysts are proteins, but some RNA molecules can function as both catalysts and information molecules.
7.4.summary.19.3	A catalytic RNA is called a ribozyme.
7.4.summary.20.1	The existence of ribozymes supports the idea of an &#x201C;RNA world&#x201D;&#x2014;a world before DNA.
7.4.summary.20.2	On early Earth, RNA may have acted as a catalyst for its own replication as well as for the synthesis of proteins.
7.4.summary.20.3	DNA could eventually have evolved from RNA.
7.4.summary.20.4	Review Figure 4.9
7.4.summary.21.1	In support of the &#x201C;RNA world&#x201D; hypothesis, an artificial self-replicating ribozyme was developed in the laboratory.
7.4.summary.21.2	Review Figure 4.10 4.4
7.4.summary.22.1	Cells Originated from Their Molecular Building Blocks
7.4.summary.23.1	A key to the emergence of living cells was the prebiotic generation of compartments enclosed by membranes.
7.4.summary.23.2	Such enclosed compartments permitted the generation and maintenance of internal chemical conditions that were different from those in the exterior environment.
